Lineage name	Most common countries	Date range	Number of taxa	Days since last sampling	Known Travel	Recall value
B.1	USA (33%), UK (33%), Australia (5%)	February 03 to June 21	12883	1	United_Arab_Emirates to Taiwan (1), UK to South_Africa, China, Iceland (17), Iran to Lebanon, Finland, Turkey (3), Spain to Iceland (6), Austria to China, Taiwan, Iceland (43), Italy to Czech_Republic, Brazil, China, Finland, Iceland, Belgium (20), France to Taiwan, Iceland, Turkey (4), Switzerland to Iceland (5), Germany to Iceland (2), Netherlands to South_Africa, Iceland (4), USA to China, Taiwan, Iceland, Costa_Rica (7), Egypt to Lebanon, Taiwan (4), Czech_Republic;USA to Taiwan (1), Czech_Republic to Taiwan (1), Poland to Taiwan (1), Canada to China (1), Argentina to Mexico (1)	0.962
B.2.1	UK (89%), Australia (3%), USA (2%)	February 09 to June 02	1618	20	UK to Iceland (1)	0.992
B.1.8	Netherlands (71%), Iceland (6%), Denmark (3%)	March 04 to May 26	157	27	Austria to Iceland (10)	0.909
B.6	India (41%), Singapore (34%), Australia (9%)	March 04 to June 06	629	16	Philippines to Taiwan (1), Pakistan to China (1)	0.987
B.1.1	UK (71%), USA (3%), Portugal (2%)	February 23 to June 14	9635	8	Italy to Chile, Brazil, Thailand, New_Zealand, Nigeria, Iceland, Mexico (37), Finland to Iceland (1), Spain to Czech_Republic, Taiwan, Iceland (4), Austria;Spain;Germany;Italy to Brazil (1), Austria to Iceland (4), Mexico to Argentina (1), Switzerland to Iceland (1), Saudia_Arabia to Turkey (1), France to Argentina (1), UK to Lebanon, China, Iceland, Kuwait (8), Germany to Iceland (1), USA to Taiwan, Brazil (3), Hungary to China (3), Maldives to Germany (1)	0.984
B.1.23	Australia (95%), New_Zealand (4%), Portugal (1%)	March 18 to April 30	104	53		1.000
B.4	Australia (37%), UK (10%), Kazakhstan (7%)	January 18 to May 13	362	40	Iran to Turkey, Kuwait, Lebanon, Canada, Pakistan, Germany, Australia, New_Zealand (13), Turkey to Taiwan (1), UK to Lebanon (1), Italy to China (1)	1.000
A.1	USA (88%), Australia (7%), Canada (2%)	February 22 to May 13	1504	40	USA to Iceland (1)	0.992
B.1.21	USA (99%), Iceland (0%), Denmark (0%)	March 08 to May 30	391	23		0.963
B.1.41	USA (100%)	March 19 to April 15	41	68		1.000
B	UK (37%), China (21%), USA (15%)	December 24 to June 02	1955	20	China to Cambodia, Singapore, Taiwan, India, Canada, Thailand (8), Italy to Finland, China (2), UK to South_Africa, China, Iceland (6), Switzerland to Iceland (1), Netherlands to Ecuador, Iceland (2), Austria to Iceland (1), USA to China, Iceland (4), Japan to Taiwan (1), Saudia_Arabia to Turkey (1), Indonesia to Taiwan (1), Greece to China (1), Germany to China (1), Iran to China (1), France to China (2), Mexico to China (1), Spain to China, Mexico (2)	0.959
B.1.5	UK (39%), Spain (37%), USA (3%)	January 24 to June 22	1731	0	Spain to Argentina, China, Iceland (3), Israel to Argentina (1), Brazil to Argentina (1), Saudia_Arabia to Turkey (2), Croatia to Iceland (1), Portugal to Taiwan (1)	0.953
